desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long,desc/placeName/_ref
Ancona,3,43.5942,13.50337,http://www.geonames.org/3183089/
Neapel,16,40.83333,14.25,http://www.geonames.org/3172395/
Sorrent,2,40.62678,14.37771,http://www.geonames.org/3166350/
Capri,1,40.54997,14.22652,http://www.geonames.org/3180629/
Anacapri,1,40.5517,14.21225,http://www.geonames.org/3183099/
Pompei,3,40.75,14.48333,http://www.geonames.org/3170336/
Palermo,4,38.13205,13.33561,http://www.geonames.org/2523920/
Syrakus,2,37.07542,15.28664,http://www.geonames.org/2523083/
Taormina,3,37.85358,15.28851,http://www.geonames.org/2522975/
Messina,2,38.19394,15.55256,http://www.geonames.org/2524170/
Adelsberg,1,45.77435,14.21528,http://www.geonames.org/3192673/
Nasswald,1,47.76327,15.69771,
Rax,4,47.7,15.71667,http://www.geonames.org/2767830/
Lueg,5,47.56667,13.2,http://www.geonames.org/2772215/
Villafranca,3,44.29844,9.95347,http://www.geonames.org/3164240/
Monaco,1,43.73333,7.41667,http://www.geonames.org/2993458/
Cap Martino,2,43.76408,7.48207,http://www.geonames.org/2982876/
Mentone,4,43.77649,7.50435,http://www.geonames.org/2994497/
Ajaccio,1,41.92723,8.73462,http://www.geonames.org/3038334/
Korfu,2,39.59828,19.85231,http://www.geonames.org/2463678/
Raach,1,47.63333,15.93333,http://www.geonames.org/2768175/
Sonnwendstein,2,47.61667,15.85,http://www.geonames.org/2764871/
Hochschwab,1,47.61973,15.14557,
Teplitz,3,50.6404,13.82451,http://www.geonames.org/3064288/
Schreckenstein,1,50.63916,14.05081,
Marienlyst,3,55.00186,11.92716,http://www.geonames.org/2617052/
Hilleröd,1,55.92791,12.30081,http://www.geonames.org/2620320/
Gilleleje,2,56.12196,12.31056,http://www.geonames.org/2621471/
Hornbaek,1,56.08541,12.45049,http://www.geonames.org/2619807/
Moelle,1,56.28333,12.5,http://www.geonames.org/2691501/
Frederiksborg,1,55.93451,12.30041,http://www.geonames.org/2621938/
Fredensborg,1,55.97558,12.40314,http://www.geonames.org/2621956/
Weimar,2,50.9803,11.32903,http://www.geonames.org/2812482/
Ilmenau,2,50.68322,10.91858,http://www.geonames.org/2896514/
Oberhof,1,50.70435,10.72716,
Eisenach,3,50.9807,10.31522,http://www.geonames.org/2931574/
Wörthersee,1,46.62917,14.12306,http://www.geonames.org/2760837/
Wocheiner See,1,46.28556,13.86194,http://www.geonames.org/3203807/
Pressegger See,1,46.62694,13.44333,http://www.geonames.org/2768347/
Spittal an der Drau,1,46.8,13.5,http://www.geonames.org/2764786/
Seeboden,1,46.81909,13.5143,http://www.geonames.org/2765286/
Innichen,3,46.7324,12.27855,http://www.geonames.org/3168508/
Fischleinboden,1,46.666799,12.353684,
Wildbad,1,46.7324,12.27855,
Taisten,1,46.76891,12.11397,http://www.geonames.org/3165729/
Oland,1,46.76027,12.02951,
Bruneck,1,46.79942,11.93429,http://www.geonames.org/3181480/
Grieser Thal,1,46.51667,11.33333,
Ulrich,1,46.57603,11.67176,http://www.geonames.org/3171891/
Wolkenstein,2,46.55472,11.76038,http://www.geonames.org/3166784/
Sellajoch,1,46.50894,11.76241,http://www.geonames.org/3166795/
Pordoi,2,46.48772,11.81358,http://www.geonames.org/8984096/
Canazei,1,46.47627,11.76929,http://www.geonames.org/3180883/
Naifthal,1,46.669302,11.209157,
St. Valentin,1,46.664699,11.187927,
Puchberg,1,47.78709,15.91352,
