,dates
958,1881-08-16
959,1881-08-17
960,1881-08-18
961,1881-08-19
962,1881-08-20
963,1881-08-21
964,1881-08-22
965,1881-08-23
966,1881-08-24
967,1881-08-25
968,1881-08-26
969,1881-08-27
970,1881-08-28
971,1881-08-29
972,1881-08-30
973,1881-08-31
974,1881-09-01
975,1881-09-02
976,1881-09-03
977,1881-09-04
978,1881-09-05
979,1881-09-06
980,1881-09-07
981,1881-09-08
982,1881-09-09
983,1881-09-10
984,1881-09-11
985,1881-09-12
986,1881-09-13
987,1881-09-14
988,1881-09-15
989,1881-09-16
990,1881-09-17
991,1881-09-18
992,1881-09-19
993,1881-09-20
994,1881-09-21
995,1881-09-22
996,1881-09-23
997,1881-09-24
998,1881-09-25
999,1881-09-26
1000,1881-09-27
1001,1881-09-28
1002,1881-09-29
1003,1881-09-30
1004,1881-10-01
1005,1881-10-02
1006,1881-10-03
1007,1881-10-04
1008,1881-10-05
1009,1881-10-06
1010,1881-10-07
1011,1881-10-08
1012,1881-10-09
1013,1881-10-10
1014,1881-10-11
1015,1881-10-12
1016,1881-10-13
1017,1881-10-14
1018,1881-10-15
1019,1881-10-16
1020,1881-10-17
1021,1881-10-18
1022,1881-10-19
1023,1881-10-20
1024,1881-10-21
1025,1881-10-22
1026,1881-10-23
1027,1881-10-24
1028,1881-10-25
1029,1881-10-26
1030,1881-10-27
1031,1881-10-28
1032,1881-10-29
1033,1881-10-30
1034,1881-10-31
1035,1881-11-01
1036,1881-11-02
1037,1881-11-03
1038,1881-11-04
1039,1881-11-05
1040,1881-11-06
1041,1881-11-07
1042,1881-11-08
1043,1881-11-09
1044,1881-11-10
1045,1881-11-11
1046,1881-11-12
1047,1881-11-13
1048,1881-11-14
1049,1881-11-15
1050,1881-11-16
1051,1881-11-17
1052,1881-11-18
1053,1881-11-19
1054,1881-11-20
1055,1881-11-21
1056,1881-11-22
1057,1881-11-23
1058,1881-11-24
1059,1881-11-25
1060,1881-11-26
1061,1881-11-27
1062,1881-11-28
1063,1881-11-29
1064,1881-11-30
1065,1881-12-01
1066,1881-12-02
1067,1881-12-03
1068,1881-12-04
1069,1881-12-05
1070,1881-12-06
1071,1881-12-07
1072,1881-12-08
1073,1881-12-09
1074,1881-12-10
1075,1881-12-11
1076,1881-12-12
1077,1881-12-13
1078,1881-12-14
1079,1881-12-15
1080,1881-12-16
1081,1881-12-17
1082,1881-12-18
1083,1881-12-19
1084,1881-12-20
1085,1881-12-21
1086,1881-12-22
1087,1881-12-23
1088,1881-12-24
1089,1881-12-25
1090,1881-12-26
1091,1881-12-27
1092,1881-12-28
1093,1881-12-29
1094,1881-12-30
1095,1881-12-31
1096,1882-01-01
1097,1882-01-02
1098,1882-01-03
1099,1882-01-04
1100,1882-01-05
1101,1882-01-06
1102,1882-01-07
1103,1882-01-08
1104,1882-01-09
1105,1882-01-10
1106,1882-01-11
1107,1882-01-12
1108,1882-01-13
1109,1882-01-14
1110,1882-01-15
1111,1882-01-16
1112,1882-01-17
1113,1882-01-18
1114,1882-01-19
