,desc/placeName/_ref,desc/placeName/__text,desc/location/geo/_lat,desc/location/geo/_long,note/_anchored,note/__text,_from,_to,_cert,_instant,geonames,pmb_id,geoname_id,download_link
64,http://www.geonames.org/2778436/,Gmunden,47.91839,13.79933,,,1880-08-10,1880-08-10,,False,https://sws.geonames.org/2778436/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/874/detail,2778436.0,https://iiif.onb.ac.at/images/AKON/AK114_425/425/full/full/0/native.jpg
65,http://www.geonames.org/2778436/,Gmunden,47.91839,13.79933,,,1880-08-11,1880-08-11,,False,https://sws.geonames.org/2778436/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/874/detail,2778436.0,https://iiif.onb.ac.at/images/AKON/AK114_425/425/full/full/0/native.jpg
66,http://www.geonames.org/2782070/,Aussee,47.60998,13.78243,,,1880-08-11,1880-08-11,,False,https://sws.geonames.org/2782070/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/415/detail,2782070.0,https://iiif.onb.ac.at/images/AKON/AK125_107/107/full/full/0/native.jpg
67,http://www.geonames.org/2782070/,Aussee,47.60998,13.78243,,,1880-08-12,1880-08-13,,False,https://sws.geonames.org/2782070/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/415/detail,2782070.0,https://iiif.onb.ac.at/images/AKON/AK125_107/107/full/full/0/native.jpg
68,http://www.geonames.org/2782070/,Aussee,47.60998,13.78243,,,1880-08-14,1880-08-14,,False,https://sws.geonames.org/2782070/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/415/detail,2782070.0,https://iiif.onb.ac.at/images/AKON/AK125_107/107/full/full/0/native.jpg
69,http://www.geonames.org/2782052/,Ischl,47.71109,13.61893,,,1880-08-14,1880-08-14,,False,https://sws.geonames.org/2782052/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/213/detail,2782052.0,https://iiif.onb.ac.at/images/AKON/AK111_493/493/full/full/0/native.jpg
70,http://www.geonames.org/2782052/,Ischl,47.71109,13.61893,,,1880-05-01,1880-08-16,,False,https://sws.geonames.org/2782052/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/213/detail,2782052.0,https://iiif.onb.ac.at/images/AKON/AK111_493/493/full/full/0/native.jpg
71,http://www.geonames.org/2782052/,Ischl,47.71109,13.61893,,,1880-08-17,1880-08-17,,False,https://sws.geonames.org/2782052/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/213/detail,2782052.0,https://iiif.onb.ac.at/images/AKON/AK111_493/493/full/full/0/native.jpg
72,http://www.geonames.org/2761369/,Wien,48.20849,16.37208,,,1880-08-17,1880-08-17,,False,https://sws.geonames.org/2761369/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/50/detail,2761369.0,https://iiif.onb.ac.at/images/AKON/AK117_016/016/full/full/0/native.jpg
73,http://www.geonames.org/2761369/,Wien,48.20849,16.37208,,,1881-07-10,1881-07-10,,False,https://sws.geonames.org/2761369/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/50/detail,2761369.0,https://iiif.onb.ac.at/images/AKON/AK117_016/016/full/full/0/native.jpg
74,http://www.geonames.org/2766824/,Salzburg,47.79941,13.04399,,,1881-07-10,1881-07-10,,False,https://sws.geonames.org/2766824/,,2766824.0,https://iiif.onb.ac.at/images/AKON/AK067_206/206/full/full/0/native.jpg
